영화이름,상영일시,상영 시작 시점,감독,주연배우,상영 4주 전 ~ 상영 1주 전 트위터 건,상영 1주 전 ~ 상영 전 트위터 건,누적 관객 수
나만이 없는 거리, 2016.08.17,3,히라카와 유이치로,"후지와라 타츠야,아리무라 카스미,오이카와 미츠히로,스즈키 리오,나카가와 츠바사",27134,17231,4392
나쁜놈은 죽는다, 2016.02.04,6,손호,"손예진,진백림,신현준,박철민,장광",87,43,14950
나의 그리스식 웨딩 2, 2016.03.30,2,커크 존스,"니아 발다로스,존 코베트,엘레나 캠푸리스,마이클 콘스탄틴,레이니 카잔",3056,4333,38305
나의 산티아고, 2016.07.14,3,줄리아 폰 하인츠,"데비드 스트리에소브,마르티나 게덱,카롤리네 슈허,카타리나 탈바흐,아네테 프리어",40,42,94627
나의 살던 고향은, 2016.11.24,4,류종헌,김용옥,12111,4373,11507
나의 소녀시대, 2016.05.11,2,프랭키 첸,"송운화,왕대륙,이옥새,간정예",18114,21522,410025
나우 유 씨 미 2, 2016.07.13,3,존 추,"제시 아이젠버그,마크 러팔로,우디 해럴슨,데이브 프랭코,리지 캐플란",160290,130098,3100113
"나의 위대한 친구, 세잔", 2016.12.15,1,다니엘르 톰슨,"기욤 갈리엔,기욤 까네,엘리스 폴,데보라 프랑소와,피에르 이본",42,42,20535
나홀로 크리스마스, 2016.12.08,1,조셉 J. 로손,"데이비스 클리브랜드,킴 리틀,제레미 마샤",3061,8617,1
나홀로 휴가, 2016.09.22,5,조재현,"박혁권,윤주,이준혁,김수진,권진",12051,41,8229
"날, 보러와요", 2016.04.07,2,이철하,"강예원,이상윤,최진호,지대한,김종수",27164,25781,1063442
낯선 집, 2016.09.08,5,대니 팽,"서교,시우파이 청,전자전,송일",18105,87,110
내 심장이 건너뛴 박동, 2016.12.15,1,자크 오디아드,"로망 뒤리스,닐스 아르스트럽,조나단 자카이,질 코엔,린당 팜",6097,52,4596
너는 착한 아이, 2016.03.24,2,오미보,"코라 켄고,오노 마치코,이케와키 치즈루,다카하시 카즈야,키타 미치에",3044,4342,5702
널 기다리며, 2016.03.10,2,모홍진,"심은경,윤제문,김성오,오태경,정해균",18166,30082,635235
씨 오브 트리스, 2018.05.10,2,구스 반 산트,"매튜 맥커너히,나오미 왓츠,와타나베 켄,케이티 애설튼,조던 개버리스",23,12,7087
아오 오니, 2018.01.04,1,하마무라 토시로,"히카사 요코,키타무라 에리,오오사카 료타,미즈시마 타카히로,사쿠라 아야네",28121,11516,585
아이 엠 낫 유어 니그로, 2018.02.08,6,라울 펙,"사무엘 L. 잭슨,제임스 볼드윈,마틴 루터 킹,메드가 에버스,맬컴 엑스",13,17,1745
아이 캔 온리 이매진, 2018.06.21,3,앤드류 어윈,"J. 마이클 핀리,매들린 캐롤,트레이스 에드킨스,데니스 퀘이드,클로리스 리치먼",30,16,22120
아이 필 프리티, 2018.06.06,3,에비 콘,"에이미 슈머,미셸 윌리엄스,로리 스코벨,톰 호퍼,로렌 허튼",8070,40080,240297
"아이, 토냐", 2018.03.08,2,크레이그 질레스피,"마고 로비,세바스찬 스탠,앨리슨 제니,줄리안 니콜슨,폴 월터 하우저",28134,40040,14002
언덕길의 아폴론, 2018.08.29,3,미키 타카히로,"치넨 유리,고마츠 나나,나카가와 타이시,딘 후지오카,나카무라 바이쟈쿠",10106,7236,7506
언프리티 소셜 스타, 2018.02.22,6,맷 스파이서,"오브리 플라자,엘리자베스 올슨,오셔 잭슨 주니어,와이어트 러셀,빌리 매그너슨",19,24,3849
엄마친구들 2, 2018.09.13,5,임현태,"도모세,유나,이준현,진주",91,28,102
에델과 어니스트, 2018.05.10,2,로저 메인우드,"짐 브로드벤트,브렌다 블레신,루크 트레더웨이,팸 페리스,로저 알람",20,32,9952
여중생A, 2018.06.20,3,이경섭,"김환희,수호,이종혁,정다빈,유재상",50193,50120,97851
"이,기적인 남자", 2018.10.25,4,김재식,"박호산,최유하,조은빛,황성준,김주희",5101,66,915
이름없는 새, 2018.06.21,3,시라이시 카즈야,"아오이 유우,아베 사다오,마츠자카 토리,다케노우치 유타카,무라카와 에리",53,18,832
매그니피센트 7, 2016.09.14,5,안톤 후쿠아,"덴젤 워싱턴,크리스 프랫,이병헌,에단 호크,맷 보머",90300,100099,921317
이별의 아침에 약속의 꽃을 장식하자, 2018.07.19,3,오카다 마리,"이와미 마나카,이리노 미유,카야노 아이,카지 유우키,사와시로 미유키",15110,85,37764
더 베일, 2016.11.28,4,아드리안 테너,"알렉산드라 에반스,앨리스테어 맥켄지",118,56,1
매직브러시, 2016.05.04,2,쯔씽 쫑,"김서영,김경희,박상훈,홍진욱",79,23,172396
맨 앤 치킨, 2016.05.04,2,앤더스 토마스 옌센,"매즈 미켈슨,다비드 덴칙,니콜라이 리 코스,소렌 맬링,니콜라스 브로",13,25,2316
맨 인 더 다크, 2016.10.05,4,페데 알바레즈,"제인 레비,딜런 미네트,스티븐 랭,다니엘 조바토,세르게이 오놉코",45148,35799,1003406
머니 몬스터, 2016.08.31,3,조디 포스터,"조지 클루니,줄리아 로버츠,케이트리오나 발피,잭 오코넬,지안카를로 에스포지토",5066,45,47226
블레이드 러너 2049, 2017.10.12,4,드니 빌뇌브,"라이언 고슬링,해리슨 포드,아나 디 아르마스,실비아 획스,자레드 레토",6450,4461,322664
메카닉: 리크루트, 2016.08.31,3,데니스 간젤,"제이슨 스타뎀,제시카 알바,토미 리 존스,양자경,나탈리 번",5085,38,551897
몽 루아, 2016.05.26,2,마이웬,"뱅상 카셀,엠마누엘 베르코,루이 가렐,이실드 르 베스코,폴 하미",39,25,5963
너의 췌장을 먹고 싶어, 2017.10.25,4,츠키카와 쇼,"하마베 미나미,키타무라 타쿠미,키타가와 케이코,오구리 슌,오오토모 카렌",10196,10078,465545
데드풀 2, 2018.05.16,2,데이빗 레이치,"라이언 레이놀즈,조슈 브롤린,재지 비츠,모레나 바카린,브리아나 힐데브란드",113278,152672,3784630
물괴, 2018.09.12,5,허종호,"김명민,김인권,혜리,최우식,이경영",10528,8629,723951
로건 럭키, 2018.03.14,2,스티븐 소더버그,"채닝 테이텀,아담 드라이버,다니엘 크레이그,세스 맥팔레인,라일리 코프",146,220,23339
다키스트 아워, 2018.01.17,1,조 라이트,"게리 올드만,크리스틴 스콧 토마스,릴리 제임스,벤 멘델슨,스티븐 딜레인",5446,5613,162704
반드시 잡는다, 2017.11.29,4,김홍선,"백윤식,성동일,천호진,배종옥,손종학",34584,23290,446780
